magnitude,latitude,longitude,depth,Referencia de localizacion,date_utc,time_utc
4,15.0648,-94.453,16.3,"135 km al SUROESTE de TONALA, CHIS",2018-01-01,7:15:42
4.2,16.2913,-95.358,64.5,"13 km al SUROESTE de TEHUANTEPEC, OAX",2018-01-01,8:32:09
4.3,15.2057,-94.5715,18.4,"127 km al SURESTE de SALINA CRUZ, OAX",2018-01-01,10:05:06
4,15.9422,-92.824,199.8,"50 km al NORESTE de PIJIJIAPAN, CHIS",2018-01-01,14:33:18
4,15.5092,-94.8927,30,"81 km al SURESTE de SALINA CRUZ, OAX",2018-01-01,14:59:54
4.2,16.0312,-95.3347,61.2,"22 km al SUROESTE de SALINA CRUZ, OAX",2018-01-01,15:56:01
4,14.9985,-94.2117,16.9,"130 km al SUROESTE de TONALA, CHIS",2018-01-01,20:22:22
4,15.4543,-94.8877,23.2,"87 km al SURESTE de SALINA CRUZ, OAX",2018-01-01,22:31:11
4,15.1753,-94.6018,16.1,"128 km al SURESTE de SALINA CRUZ, OAX",2018-01-02,1:59:27
4,16.135,-94.714,47.8,"40 km al SURESTE de UNION HIDALGO, OAX",2018-01-02,2:41:59
4,15.282,-94.2848,16.1,"105 km al SUROESTE de TONALA, CHIS",2018-01-02,3:05:28
4.1,16.5393,-95.0053,78.7,"10 km al ESTE de CD IXTEPEC, OAX",2018-01-02,3:09:02
4,18.3147,-100.303,53.7,"2 km al OESTE de ARCELIA, GRO",2018-01-02,3:35:12
4,16.004,-95.211,84.2,"20 km al SUR de SALINA CRUZ, OAX",2018-01-02,4:15:44
4,15.4525,-94.8053,16.1,"91 km al SURESTE de SALINA CRUZ, OAX",2018-01-02,6:18:28
4.3,16.2342,-98.8162,3.1,"66 km al SUROESTE de OMETEPEC, GRO",2018-01-02,7:58:12
4,16.3002,-95.2303,73.2,"3 km al SURESTE de TEHUANTEPEC, OAX",2018-01-02,9:32:16
4.6,15.7652,-94.9152,24.5,"55 km al SURESTE de SALINA CRUZ, OAX",2018-01-02,9:48:39
4.1,16.1508,-92.8992,216.8,"40 km al ESTE de VILLAFLORES, CHIS",2018-01-02,10:19:52
4,16.3567,-95.126,73.9,"11 km al NORESTE de S BLAS ATEMPA, OAX",2018-01-02,10:27:46
4.1,16.7492,-94.9822,93,"15 km al SURESTE de MATIAS ROMERO, OAX",2018-01-02,19:38:54
4,16.6012,-95.519,16.2,"43 km al NOROESTE de TEHUANTEPEC, OAX",2018-01-02,22:27:06
4.2,16.4847,-95.1173,80.8,"9 km al SUR de CD IXTEPEC, OAX",2018-01-02,22:37:23
4,16.3418,-95.3343,16.2,"10 km al OESTE de TEHUANTEPEC, OAX",2018-01-02,23:15:47
4,15.1793,-94.6048,16.1,"128 km al SURESTE de SALINA CRUZ, OAX",2018-01-03,2:03:25
4.4,15.1008,-94.5758,16.2,"137 km al SURESTE de SALINA CRUZ, OAX",2018-01-03,2:29:03
4.2,15.3993,-94.9737,15.7,"90 km al SURESTE de SALINA CRUZ, OAX",2018-01-03,5:57:05
4.1,15.5542,-94.919,22.9,"76 km al SURESTE de SALINA CRUZ, OAX",2018-01-03,6:28:42
4.1,15.0797,-94.8582,10.8,"127 km al SURESTE de SALINA CRUZ, OAX",2018-01-03,15:53:29
4.2,15.6303,-93.8515,89.2,"51 km al SUR de TONALA, CHIS",2018-01-03,22:07:18
4.2,15.7205,-95.1215,20,"52 km al SUR de SALINA CRUZ, OAX",2018-01-04,0:24:54
